Date,SPY,GOOG,TSLA,FB,AAPL,MSFT,BTC-USD,ETH-USD,ADA-USD,XRP-USD,DOGE-USD,LTC-USD,XLM-USD,LINK-USD,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,total_vaccinations,people_vaccinated,total_cases_rate,new_cases_rate,total_deaths_rate
2021-08-30,450.78582763671875,2909.389892578125,730.9099731445312,380.6600036621094,152.8968505859375,303.5899963378906,47054.984375,3224.374267578125,2.7331600189208984,1.1014349460601807,0.2721250057220459,167.42466735839844,0.3293150067329407,24.980934143066406,39182369.0,259278.0,639423.0,1764.0,1430239.0,532883842.0,0.098,375930314.0,206644300.0,0.11769478783048436,0.0007788112352040869,0.0019206790257866185
2021-08-31,450.11798095703125,2909.239990234375,735.719970703125,379.3800048828125,151.60873413085938,301.8800048828125,47166.6875,3433.732666015625,2.772475004196167,1.1875929832458496,0.27845299243927,171.6592254638672,0.3407680094242096,26.750707626342773,39353639.0,171270.0,640866.0,1443.0,1947580.0,534831422.0,0.098,376839231.0,207061495.0,0.11820924335796222,0.0005144555274778577,0.0019250134645450148
2021-09-01,450.357177734375,2916.840087890625,734.0900268554688,382.04998779296875,152.28773498535156,301.8299865722656,48847.02734375,3834.828125,2.870767116546631,1.234889030456543,0.29440099000930786,180.97216796875,0.3538439869880676,29.73518180847168,39555889.0,202250.0,642900.0,2034.0,2031008.0,536862430.0,0.1,377742259.0,207483093.0,0.11881675565102227,0.0006075122930600613,0.0019311231308198438
2021-09-02,451.7427673339844,2884.3798828125,732.3900146484375,375.2799987792969,153.4260711669922,301.1499938964844,49327.72265625,3790.989990234375,2.963438034057617,1.256324052810669,0.29595500230789185,183.61724853515625,0.3605929911136627,29.985244750976562,39730968.0,175079.0,645853.0,2953.0,1957851.0,538820281.0,0.099,378618690.0,207883654.0,0.11934265253486238,0.0005258968838401111,0.0019399932608638803
2021-09-03,451.63311767578125,2895.5,733.5700073242188,376.260009765625,154.07513427734375,301.1400146484375,50025.375,3940.61474609375,2.9682390689849854,1.2914350032806396,0.29627299308776855,212.96597290039062,0.3689030110836029,30.784265518188477,39966561.0,235593.0,647821.0,1968.0,1861818.0,540682099.0,0.099,379639210.0,208335739.0,0.12005031949980133,0.0007076669649389322,0.0019459046783805289
2021-09-04,,,,,,,49944.625,3887.828369140625,2.8328070640563965,1.2557790279388428,0.29938799142837524,212.35845947265625,0.3703010082244873,29.897823333740234,40035946.0,69385.0,648427.0,606.0,1352827.0,542034926.0,0.1,380189282.0,208580941.0,0.12025873601626101,0.00020841651645969026,0.0019477249624329116
2021-09-05,,,,,,,51753.41015625,3952.133544921875,2.9108240604400635,1.3054980039596558,0.3145270049571991,231.333984375,0.3973909914493561,33.5034294128418,40079901.0,43955.0,648807.0,380.0,990041.0,543024967.0,0.099,380548785.0,208748508.0,0.12039076668544002,0.0001320306691790111,0.00194886639467698
2021-09-06,,,,,,,52633.53515625,3928.37939453125,2.831897020339966,1.3894129991531372,0.3087649941444397,219.52577209472656,0.42343199253082275,34.78485870361328,40157958.0,78057.0,649397.0,590.0,822275.0,543847242.0,0.088,380720166.0,208829475.0,0.12062523188721698,0.00023446520177695528,0.0019506386184243493
2021-09-07,450.0182800292969,2910.3798828125,752.9199829101562,382.17999267578125,156.46165466308594,300.17999267578125,46811.12890625,3426.394287109375,2.502490997314453,1.1250989437103271,0.2537440061569214,178.11439514160156,0.33428698778152466,28.11425018310547,40423381.0,265423.0,651531.0,2134.0,1395904.0,545243146.0,0.103,381610791.0,209182319.0,0.12142250128331528,0.0007972693960982975,0.001957048661605512
2021-09-08,449.4700622558594,2897.669921875,753.8699951171875,377.57000732421875,154.8839569091797,300.2099914550781,46091.390625,3497.315185546875,2.4749889373779297,1.1007200479507446,0.2571130096912384,179.72467041015625,0.3295390009880066,27.15100860595703,40606407.0,183026.0,653809.0,2278.0,2031303.0,547274449.0,0.101,382437833.0,209547511.0,0.12197226911990174,0.0005497678365864563,0.0019638912475317956
2021-09-09,447.5462341308594,2898.27001953125,754.8599853515625,378.0,153.84547424316406,297.25,46391.421875,3427.340087890625,2.5176661014556885,1.0894010066986084,0.252595990896225,180.37680053710938,0.33229899406433105,27.978628158569336,40766536.0,160129.0,657093.0,3284.0,2059196.0,549333645.0,0.098,383265641.0,209918075.0,0.12245325965624494,0.00048099053634321164,0.0019737556251357966
